"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Inachus leptochirus";"Inachus leptochirus";"107330";107330;"Inachus";"Inachidae";"Decapoda";"Malacostraca";"Arthropoda"
"Aporrhais serresianus";"Aporrhais serresiana";"751348";751348;"Aporrhais";"Aporrhaidae";"Littorinimorpha";"Gastropoda";"Mollusca"
"Berthella plumula";"Berthella plumula";"140812";140812;"Berthella";"Pleurobranchidae";"Pleurobranchida";"Gastropoda";"Mollusca"
"Mesothuria intestinalis";"Mesothuria intestinalis";"816800";816800;"Mesothuria";"Mesothuriidae";"Holothuriida";"Holothuroidea";"Echinodermata"
"Cellaria";"Cellaria";"110869";110869;"Cellaria";"Cellariidae";"Cheilostomatida";"Gymnolaemata";"Bryozoa"
"Diphasia margareta";"Diphasia margareta";"117880";117880;"Diphasia";"Sertulariidae";"Leptothecata";"Hydrozoa";"Cnidaria"
"Kaloplocamus ramosus";"Kaloplocamus ramosus";"141710";141710;"Kaloplocamus";"Polyceridae";"Nudibranchia";"Gastropoda";"Mollusca"
"Madrepora oculata";"Madrepora oculata";"135209";135209;"Madrepora";"Oculinidae";"Scleractinia";"Anthozoa";"Cnidaria"
"Ophiothrix fragilis";"Ophiothrix fragilis";"125131";125131;"Ophiothrix";"Ophiotrichidae";"Amphilepidida";"Ophiuroidea";"Echinodermata"
"Urticina";"Urticina";"100706";100706;"Urticina";"Actiniidae";"Actiniaria";"Anthozoa";"Cnidaria"
"Caridea";"Caridea";"106674";106674;NA;NA;"Decapoda";"Malacostraca";"Arthropoda"
"Metridium dianthus";"Metridium dianthus";"158251";158251;"Metridium";"Metridiidae";"Actiniaria";"Anthozoa";"Cnidaria"
"Acrocnida brachiata";"Acrocnida brachiata";"236130";236130;"Acrocnida";"Amphiuridae";"Amphilepidida";"Ophiuroidea";"Echinodermata"
"Anapagurus hyndmanni";"Anapagurus hyndmanni";"107217";107217;"Anapagurus";"Paguridae";"Decapoda";"Malacostraca";"Arthropoda"
"Lanice conchilega";"Lanice conchilega";"131495";131495;"Lanice";"Terebellidae";"Terebellida";"Polychaeta";"Annelida"
"Liocarcinus navigator";"Liocarcinus navigator";"107392";107392;"Liocarcinus";"Polybiidae";"Decapoda";"Malacostraca";"Arthropoda"
